,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV,harm_other_acceptUp,harm_other_cue_times,harm_other_decision_times,harm_other_decisions,harm_other_punishment_values,harm_other_response_times,harm_other_reward_values,harm_other_trial_times,harm_other_punishment_reward_ratio,harm_self_acceptUp,harm_self_cue_times,harm_self_decision_times,harm_self_decisions,harm_self_punishment_values,harm_self_response_times,harm_self_reward_values,harm_self_trial_times,harm_self_punishment_reward_ratio,other_acceptUp,other_cue_times,other_decision_times,other_decisions,other_punishment_values,other_response_times,other_reward_values,other_trial_times,other_punishment_reward_ratio,other_prob_reject,other_prob_accept,other_SV
0,1,0.00803002156317234,1.0874741382431239,1,53,2.1215790137648582,40,1.0318470986094326,1.325,0.23247655805325385,0.7675234419467462,1.194379627881238,0,0.009763946756720543,1.4398240237496793,1,22,2.47116978908889,31,1.03020482766442,0.7096774193548387,0,0.008089280687272549,0.4090570237021893,0,59,1.4344579025637358,65,1.0248023606836796,0.9076923076923077,1,0.007121774833649397,1.139685080619529,1,75,2.169138105819002,70,1.0277783593628556,1.0714285714285714,0.08841342035558586,0.9115865796444141,2.333162803405836
1,1,4.621992840897292,0.847915121819824,0,58,6.491012546932325,6,5.641017820918933,9.666666666666666,0.9891513316045578,0.010848668395442193,-4.512804990760109,0,4.972007517237216,0.2983824994880706,1,40,6.274101620074362,15,5.974003368290141,2.6666666666666665,1,3.9363231856841594,0.07986604259349406,0,55,5.037138948217034,95,4.955840412527323,0.5789473684210527,1,4.670825216453522,0.5486227956134826,1,54,6.238456004532054,78,5.688136419514194,0.6923076923076923,0.16926287679524177,0.8307371232047582,1.5908604165032403
2,1,8.996134322602302,0.5314644814934582,1,52,10.54347316804342,68,10.010099354200065,0.7647058823529411,0.003999220633443379,0.9960007793665566,5.517648539584198,0,8.774657274130732,0.3984713489189744,1,78,10.193183528725058,34,9.793126402655616,2.2941176470588234,0,7.538984083337709,0.031022209906950593,0,96,8.589615964563563,89,8.557082249084488,1.0786516853932584,1,8.739852744620293,0.7800395931117237,1,28,10.541305465158075,82,9.759615304647014,0.34146341463414637,0.3287551590419111,0.6712448409580889,0.713820683798028
3,0,13.04457242693752,2.0319679875392467,0,12,16.097419023280963,3,14.06377281434834,4.0,0.35525849420222977,0.6447415057977702,0.5960037930793181,0,12.693814639467746,0.36506928806193173,1,68,14.062456864165142,63,13.695667478255928,1.0793650793650793,1,11.090947519754991,0.11465674475766718,0,12,12.225158627144992,9,12.109149586642161,1.3333333333333333,1,13.042768180603161,0.7807360866572708,1,45,14.844069197308272,40,14.061686889035627,1.125,0.17258486109420357,0.8274151389057964,1.5674174869445643
4,0,18.598553047515452,1.1968390333931893,1,55,20.8168644674588,60,19.618222373072058,0.9166666666666666,0.018809412528026814,0.9811905874719732,3.954409308535551,0,16.563375579891726,0.2652190555818379,1,58,17.848382874624804,58,17.581560659222305,1.0,1,14.727598724886775,0.04739790712483227,0,6,15.794686896027997,8,15.745682273292914,0.75,0,17.344967369688675,0.44849127950146794,0,14,18.8137565178331,57,18.36343491799198,0.24561403508771928,0.39300045788069515,0.6069995421193048,0.4347172597658745
5,1,23.318334294017404,1.2300518595147878,0,97,25.570140614407137,61,24.3382398665417,1.5901639344262295,0.7253536551030283,0.2746463448969717,-0.9711750845823713,1,20.34895235602744,0.2151900385506451,1,94,21.58401162107475,46,21.367401731433347,2.0434782608695654,0,18.296049660770223,0.09714327030815184,0,41,19.413818700704724,22,19.31514061638154,1.8636363636363635,0,21.314240665873513,1.566225158981979,1,60,23.884035996394232,61,22.316067825770006,0.9836065573770492,0.12924943829589275,0.8707505617041073,1.9076113868207782
6,1,28.07087049074471,0.7486116548534483,1,66,29.83920598961413,59,29.08901329827495,1.11864406779661,0.07763085599166919,0.9223691440083308,2.4749805396252227,0,24.084914139239118,0.19848604523576796,1,87,25.303238991415128,76,25.103258033283055,1.144736842105263,1,21.914979589171708,0.014874463202431798,0,10,22.949694834649563,44,22.933357063448057,0.22727272727272727,1,26.3841069098562,1.3157695541158319,1,58,28.70327596901916,58,27.385997674660757,1.0,0.1342752958360558,0.8657247041639442,1.8636748254490973
7,1,32.34002791508101,0.581908313324675,1,14,33.925286745652556,57,33.34178751939908,0.24561403508771928,0.00021194504572696893,0.999788054954273,8.458971567654887,1,27.803949904628098,0.33176164678297937,1,97,29.15576448175125,61,28.8224352307152,1.5901639344262295,1,25.449881501263008,0.09831936843693256,0,33,26.5512938068714,25,26.45172130316496,1.32,1,31.20400742557831,1.5660920233931392,1,72,33.77342586731538,51,32.205853548133746,1.411764705882353,0.08545800565009898,0.914541994349901,2.3703982940381687
8,1,36.42603202932514,0.8489189732354134,0,82,38.278533816104755,40,37.427764769410715,2.05,0.9097224069891009,0.09027759301089908,-2.3102502154927143,0,31.656601814785972,0.4650929521303624,1,45,33.12514720973559,42,32.65848546824418,1.0714285714285714,0,29.052346053533256,0.03150181472301483,0,53,30.10368430474773,57,30.07083572517149,0.9298245614035088,1,36.274180237203836,1.015617968980223,1,87,38.29319810634479,89,37.275916137732565,0.9775280898876404,0.06980626981971816,0.9301937301802818,2.5896690452435203
9,0,40.77891050721519,0.515214413870126,1,60,42.2976184503641,70,41.780853420030326,0.8571428571428571,0.007759659293782084,0.9922403407062179,4.851026929086988,0,35.62594503676519,0.03157095052301884,1,43,36.67755864583887,7,36.64441337506287,6.142857142857143,0,32.60517190909013,0.06389844394288957,0,86,33.68979528313503,59,33.624426420079544,1.4576271186440677,0,40.79394299490377,1.432414643932134,1,87,43.229731464758515,76,41.795790302800015,1.144736842105263,0.06403551456333922,0.9359644854366608,2.682139688344767
