,self_acceptUp,self_cue_times,self_decision_times,self_decisions,self_punishment_values,self_response_times,self_reward_values,self_trial_times,self_punishment_reward_ratio,self_prob_reject,self_prob_accept,self_SV
0,1,0.004495001689065248,1.4075154784950428,1,58,2.437036791234277,58,1.0271469973376952,1.0,0.014566781572705412,0.9854332184272946,4.214337658455023
1,0,4.937049828236923,1.4497233784059063,0,14,7.407166639808565,7,5.955091069394257,2.0,0.9433675448243568,0.05663245517564322,-2.8128737340418604
2,0,9.908841697557364,1.5988035188638605,1,45,12.526576529606245,92,10.925816669652704,0.4891304347826087,1.0175553732949538e-09,0.9999999989824446,20.705862778146304
3,1,15.027059293875936,1.2155870445421897,0,54,17.263336857256945,31,16.04538695415249,1.7419354838709677,0.9925128947904757,0.007487105209524341,-4.887057769265461
4,0,19.76379236235516,1.5825230636401102,0,50,22.366341452579945,7,20.781990442657843,7.142857142857143,0.9999973823526869,2.617647313111376e-06,-12.85323199805389
5,1,24.866971574549098,1.3827147471602075,1,19,27.269755014916882,37,25.885315432329662,0.5135135135135135,0.0007882993439293218,0.9992117006560707,7.14484405194367
6,0,29.770339309819974,1.4324252465739846,1,14,32.22285576805007,57,30.788567809795495,0.24561403508771928,1.0106725167879915e-07,0.9999998989327483,16.10747958241718
7,0,34.72360993910115,0.9991253354237415,1,7,36.74243656115141,54,35.74167409382062,0.12962962962962962,4.464380376489885e-08,0.9999999553561962,16.924550268072537
8,0,39.243254732049536,1.2325339673552662,1,24,41.49604544148315,90,40.261448861740064,0.26666666666666666,6.203482172395525e-12,0.9999999999937965,25.805910340823456
9,1,43.99632553954143,1.0959460441954434,1,69,46.09875137085328,61,45.00105639256071,1.1311475409836065,0.0926523286908083,0.9073476713091917,2.281671610050066
10,1,48.60224726377055,1.015878678415902,1,15,50.63537271611858,56,49.617683869204484,0.26785714285714285,1.950180205101404e-07,0.9999998049819795,15.450173674761917
11,1,53.13636431872146,1.4658600315451622,1,45,55.62162064999575,40,54.15402195591014,1.125,0.2633371075048414,0.7366628924951586,1.028695393533708
12,1,58.122576697089244,1.299482154310681,0,16,60.442327840370126,10,59.140750678721815,1.6,0.903388090208002,0.09661190979199792,-2.235450216443808
13,0,62.942217618459836,1.1154853558982722,1,6,65.0611968919402,26,63.944030552404,0.23076923076923078,0.0013476407595743867,0.9986523592404256,6.608051251197162
14,1,67.5621869143215,0.748652842710726,1,3,69.31553742487449,18,68.56391688552685,0.16666666666666666,0.011920644996751273,0.9880793550032487,4.4174912427126865
15,0,71.81511787034106,0.8318324973806739,1,35,73.6673825167818,62,72.8334546170081,0.5645161290322581,5.3274141560422095e-06,0.999994672585844,12.142639259041193
16,0,76.16799683636054,1.7667162072611973,1,87,78.95428554044338,76,77.18582039902685,1.144736842105263,0.05032592606073916,0.9496740739392608,2.9375984727043187
17,1,81.45479082321981,1.2990815626690164,1,66,83.77449455921305,59,82.47323858196614,1.11864406779661,0.08615176996735796,0.913848230032642,2.3615539994296983
